file1, file2, similarity
b1_resized.bmp, b2_resized.bmp, 0.90625
b1_resized.bmp, b3_resized.bmp, 0.890625
b1_resized.bmp, b4_resized.bmp, 0.90625
b1_resized.bmp, b5_resized.bmp, 0.703125
b1_resized.bmp, bin1_resized.bmp, 0.640625
b1_resized.bmp, bin2_resized.bmp, 0.65625
b1_resized.bmp, bin3_resized.bmp, 0.53125
b1_resized.bmp, bin4_resized.bmp, 0.5625
b1_resized.bmp, bin5_resized.bmp, 0.625
b1_resized.bmp, i1_resized.bmp, 0.671875
b1_resized.bmp, i2_resized.bmp, 0.671875
b1_resized.bmp, i3_resized.bmp, 0.734375
b1_resized.bmp, i4_resized.bmp, 0.71875
b1_resized.bmp, i5_resized.bmp, 0.734375
b2_resized.bmp, b3_resized.bmp, 0.984375
b2_resized.bmp, b4_resized.bmp, 1
b2_resized.bmp, b5_resized.bmp, 0.703125
b2_resized.bmp, bin1_resized.bmp, 0.640625
b2_resized.bmp, bin2_resized.bmp, 0.625
b2_resized.bmp, bin3_resized.bmp, 0.5625
b2_resized.bmp, bin4_resized.bmp, 0.5625
b2_resized.bmp, bin5_resized.bmp, 0.65625
b2_resized.bmp, i1_resized.bmp, 0.671875
b2_resized.bmp, i2_resized.bmp, 0.703125
b2_resized.bmp, i3_resized.bmp, 0.734375
b2_resized.bmp, i4_resized.bmp, 0.75
b2_resized.bmp, i5_resized.bmp, 0.734375
b3_resized.bmp, b4_resized.bmp, 0.984375
b3_resized.bmp, b5_resized.bmp, 0.6875
b3_resized.bmp, bin1_resized.bmp, 0.625
b3_resized.bmp, bin2_resized.bmp, 0.640625
b3_resized.bmp, bin3_resized.bmp, 0.578125
b3_resized.bmp, bin4_resized.bmp, 0.578125
b3_resized.bmp, bin5_resized.bmp, 0.671875
b3_resized.bmp, i1_resized.bmp, 0.6875
b3_resized.bmp, i2_resized.bmp, 0.71875
b3_resized.bmp, i3_resized.bmp, 0.75
b3_resized.bmp, i4_resized.bmp, 0.765625
b3_resized.bmp, i5_resized.bmp, 0.75
b4_resized.bmp, b5_resized.bmp, 0.703125
b4_resized.bmp, bin1_resized.bmp, 0.640625
b4_resized.bmp, bin2_resized.bmp, 0.625
b4_resized.bmp, bin3_resized.bmp, 0.5625
b4_resized.bmp, bin4_resized.bmp, 0.5625
b4_resized.bmp, bin5_resized.bmp, 0.65625
b4_resized.bmp, i1_resized.bmp, 0.671875
b4_resized.bmp, i2_resized.bmp, 0.703125
b4_resized.bmp, i3_resized.bmp, 0.734375
b4_resized.bmp, i4_resized.bmp, 0.75
b4_resized.bmp, i5_resized.bmp, 0.734375
b5_resized.bmp, bin1_resized.bmp, 0.5625
b5_resized.bmp, bin2_resized.bmp, 0.546875
b5_resized.bmp, bin3_resized.bmp, 0.546875
b5_resized.bmp, bin4_resized.bmp, 0.515625
b5_resized.bmp, bin5_resized.bmp, 0.546875
b5_resized.bmp, i1_resized.bmp, 0.6875
b5_resized.bmp, i2_resized.bmp, 0.65625
b5_resized.bmp, i3_resized.bmp, 0.625
b5_resized.bmp, i4_resized.bmp, 0.703125
b5_resized.bmp, i5_resized.bmp, 0.65625
bin1_resized.bmp, bin2_resized.bmp, 0.921875
bin1_resized.bmp, bin3_resized.bmp, 0.859375
bin1_resized.bmp, bin4_resized.bmp, 0.765625
bin1_resized.bmp, bin5_resized.bmp, 0.734375
bin1_resized.bmp, i1_resized.bmp, 0.5
bin1_resized.bmp, i2_resized.bmp, 0.5
bin1_resized.bmp, i3_resized.bmp, 0.53125
bin1_resized.bmp, i4_resized.bmp, 0.546875
bin1_resized.bmp, i5_resized.bmp, 0.5625
bin2_resized.bmp, bin3_resized.bmp, 0.84375
bin2_resized.bmp, bin4_resized.bmp, 0.78125
bin2_resized.bmp, bin5_resized.bmp, 0.75
bin2_resized.bmp, i1_resized.bmp, 0.578125
bin2_resized.bmp, i2_resized.bmp, 0.546875
bin2_resized.bmp, i3_resized.bmp, 0.609375
bin2_resized.bmp, i4_resized.bmp, 0.59375
bin2_resized.bmp, i5_resized.bmp, 0.609375
bin3_resized.bmp, bin4_resized.bmp, 0.71875
bin3_resized.bmp, bin5_resized.bmp, 0.71875
bin3_resized.bmp, i1_resized.bmp, 0.578125
bin3_resized.bmp, i2_resized.bmp, 0.546875
bin3_resized.bmp, i3_resized.bmp, 0.515625
bin3_resized.bmp, i4_resized.bmp, 0.59375
bin3_resized.bmp, i5_resized.bmp, 0.578125
bin4_resized.bmp, bin5_resized.bmp, 0.84375
bin4_resized.bmp, i1_resized.bmp, 0.578125
bin4_resized.bmp, i2_resized.bmp, 0.640625
bin4_resized.bmp, i3_resized.bmp, 0.671875
bin4_resized.bmp, i4_resized.bmp, 0.65625
bin4_resized.bmp, i5_resized.bmp, 0.609375
bin5_resized.bmp, i1_resized.bmp, 0.546875
bin5_resized.bmp, i2_resized.bmp, 0.640625
bin5_resized.bmp, i3_resized.bmp, 0.703125
bin5_resized.bmp, i4_resized.bmp, 0.625
bin5_resized.bmp, i5_resized.bmp, 0.640625
i1_resized.bmp, i2_resized.bmp, 0.84375
i1_resized.bmp, i3_resized.bmp, 0.71875
i1_resized.bmp, i4_resized.bmp, 0.859375
i1_resized.bmp, i5_resized.bmp, 0.8125
i2_resized.bmp, i3_resized.bmp, 0.71875
i2_resized.bmp, i4_resized.bmp, 0.921875
i2_resized.bmp, i5_resized.bmp, 0.875
i3_resized.bmp, i4_resized.bmp, 0.734375
i3_resized.bmp, i5_resized.bmp, 0.75
i4_resized.bmp, i5_resized.bmp, 0.890625
